"Time Range: 10:27:51 to 10:29:16, Duration 85.0 
 Start Row 2586, End Row 2926 
 Start Time 646.25, End Time 731.25"
Kurtosis Values:
0.5655980588641367,-1.350335414069894,3.5954161225110806,2.453457692960489,5.181069592137995,3.6076922207567357,3.272286742565065,0.061508247678737415,-1.553411680988094,-1.4889383137066632,0.6691203157651664,8.028849914388504,5.677943401894751,6.15730428377838,5.25313253051311,5.524828777569093,5.8921920552850295,1.8169824644096924,14.146233720484055,7.893605456549974,1.42943403537946,4.042526289632807,2.7399162031352553,3.460755343532794,3.0287821275676414,0.6860282966712448,12.516346009203394,13.421577682214448,3.0500037610479724,2.845203667596876,3.073514551879649,9.35762058893979,4.4675905332869545,6.113818135218818,18.64286219666395,19.528261468602093,0.32223219868941966,-0.9126946676568863,10.992055821130922,6.119940363159202
"Size of kurtosis values: (1, 40)"

"Time Range: 10:29:16 to 10:30:12, Duration 56.0 
 Start Row 2927, End Row 3151 
 Start Time 731.5, End Time 787.5"
Kurtosis Values:
0.05776500476063795,11.681020660358724,22.687027049936944,28.262315568023624,3.2021944490352645,2.7723079423354786,-1.0775905957783707,-0.5776359909593669,0.379723255999338,-0.30352937778671807,0.05926089516478683,0.409385671090539,0.01846112290175972,-0.7510706574171655,1.3132830529847377,2.708174254475294,4.628558328551454,5.600684149084749,0.9484115449022497,10.717856242552326,-0.6935219546741931,4.377190194555695,-0.5386746259535853,7.6437265461128305,-0.38747571702669026,-1.163293444463395,-1.2559506908313576,-1.2326506226354226,-1.0364646602356256,-1.051996722392035,-1.1892342816147716,-1.25676129901713,5.749807210310779,7.53216508631537,2.0241637742479206,1.5570264752188212,0.46465294478204333,3.5670005761432133,-0.46765095557190595,6.26258785505058
"Size of kurtosis values: (1, 40)"

"Time Range: 10:30:12 to 10:30:54, Duration 42.0 
 Start Row 3152, End Row 3320 
 Start Time 787.75, End Time 829.75"
Kurtosis Values:
-0.9689868467461444,5.779599688235514,4.0596577115749355,5.629719362633441,-0.6373509923663949,-0.8067239500990411,-1.130314261071278,-1.1407466497078134,4.2770723900892795,2.591154108785746,0.5069893867266231,0.19109774958099246,-1.2526188178697732,-0.8865495289619596,-0.9471615803957825,-0.31844454716683135,-0.8334220262195213,0.5073401889116469,-1.035191764832838,1.2544731210347848,-1.0273790725092544,-0.8755400537142437,-1.1020639491818318,-0.6620616412945699,-0.7948605625434162,-0.31781490260696943,-1.3647959212558378,-1.438793431316628,-0.897896830124008,-0.9104585642594918,-0.6933731094154707,-0.5080251731755943,0.18156212318292653,-0.7220033045264822,-1.365263103452796,-1.3293142838321694,0.8712669378143034,0.8487619873689041,0.5892534608313591,1.2034915240565738
"Size of kurtosis values: (1, 40)"

"Time Range: 10:30:55 to 10:32:14, Duration 79.0 
 Start Row 3321, End Row 3637 
 Start Time 830.0, End Time 909.0"
Kurtosis Values:
