"Time Range: 12:50:16 to 12:51:01, Duration 45.0 
 Start Row 2368, End Row 2548 
 Start Time 591.75, End Time 636.75"
Std Values:
0.00789467280045194,0.0033051267184233805,0.003246680262958294,0.0021570746113407707,0.007520480749266902,0.003241752455581189,0.0588655273318195,0.06340589187681306,0.153767772305109,0.13176605090634297,0.1098537245461261,0.10704425773791544,0.005560717503881277,0.0047042754047612375,0.03431998777855499,0.04610979634351485,0.10368005714068201,0.0932909521904518,0.002820785456737672,0.0011369595509510362,0.14686187861075758,0.16754615781207755,0.012886909453856364,0.019959292839966277,0.005636558781567061,0.002315622939498483,0.11358943083274528,0.1473256438246718,0.007817722764779626,0.010475331951203202,0.007194484134348194,0.0054203027625274675,0.0025481277504371385,0.004267587444254895,0.007125718378048111,0.0032173157813881574,0.00313172409048556,0.003948396478383409,0.0015875531835824114,0.001762649856309181
"Size of std_values: (1, 40)"

"Time Range: 12:51:01 to 12:51:38, Duration 37.0 
 Start Row 2549, End Row 2697 
 Start Time 637.0, End Time 674.0"
Std Values:
0.0060596298953092785,0.003311774165870296,0.004207197623416786,0.005262165051301592,0.0077101853296165,0.002902856240565448,0.06010061224277033,0.06407441375338331,0.15177725420657115,0.13052924393878734,0.10636479756768792,0.1045442686539423,0.004624101200411573,0.003770432629721039,0.10205190347160106,0.10092274262852195,0.10142569721622703,0.09158051602699989,0.002361679156893597,0.0014856932573249222,0.14393925310541233,0.16514324794474708,0.014381625536788763,0.018698674052742965,0.004562566396304117,0.002283786220499648,0.1129164136674579,0.14611486034068588,0.007138636574900117,0.009328055852986208,0.007318068516863386,0.00394733679450778,0.0015379912412970228,0.0020163891184163314,0.006392240725987355,0.0028715071581930426,0.004594678484474459,0.008515696156112817,0.0016351884576197599,0.0016146863182095906
"Size of std_values: (1, 40)"

"Time Range: 12:51:38 to 12:52:10, Duration 32.0 
 Start Row 2698, End Row 2826 
 Start Time 674.25, End Time 706.25"
Std Values:
0.006117180143248028,0.002852980220410479,0.004010353653336142,0.005468792413429403,0.006690226771982466,0.0031388676937853344,0.0601700555814554,0.06458543752035066,0.15255614464397477,0.13152288862521574,0.10691788771622794,0.10392444673187277,0.004679146310532479,0.003547929735394497,0.10269898878840053,0.09770494946975085,0.10310725794010145,0.09271223361330981,0.002142369275062437,0.0013019595405818008,0.1430807222817448,0.16430148682934365,0.014840618202471565,0.019008401263137655,0.004943646528967796,0.0025814822406105267,0.10964525683785468,0.14260921391129378,0.00648361325320658,0.009550581755933846,0.007472546927804124,0.004315902047035798,0.0021215865269940248,0.0032193024869323944,0.005243244501531171,0.002649197900820444,0.006701316367272293,0.009494276662392437,0.0014039920159475867,0.0013378603947379404
"Size of std_values: (1, 40)"

"Time Range: 12:52:10 to 12:52:38, Duration 28.0 
 Start Row 2827, End Row 2939 
 Start Time 706.5, End Time 734.5"
Std Values:
