15:49:46 to 15:50:34, Duration 48.0
[[ 2.98616194e-03 -2.56331305e-02  2.69822050e-02  3.95218799e-02
  -3.01522062e-03 -7.50386084e-04 -1.52732063e-02 -1.40827062e-02
  -1.38042013e-03  4.01209107e-04 -3.27976090e-02 -1.32435261e-02
  -6.11783497e-02 -7.46316861e-02  2.78254820e-02  3.21897947e-04
   1.08353667e-03 -4.72701444e-03 -1.89495516e-02 -3.46322597e-02
  -7.40030021e-02 -1.96747560e-01 -5.87528058e-04 -7.11516978e-03
  -2.63358472e-03 -7.01449582e-03 -4.14918821e-03 -1.95900446e-02
  -2.58576036e-02 -4.06951882e-02  4.08151041e-06 -1.59358870e-05
   2.20149110e-02  2.65829645e-01  1.12878541e-03  7.32728889e-03
   5.27849451e-03  2.21088341e-02  1.22051364e-02  4.83126596e-03]]

15:50:34 to 15:51:18, Duration 44.0
[[ 2.98616194e-03 -2.56331305e-02  2.69822050e-02  3.95218799e-02
  -3.01522062e-03 -7.50386084e-04 -1.52732063e-02 -1.40827062e-02
  -1.38042013e-03  4.01209107e-04 -3.27976090e-02 -1.32435261e-02
  -6.11783497e-02 -7.46316861e-02  2.78254820e-02  3.21897947e-04
   1.08353667e-03 -4.72701444e-03 -1.89495516e-02 -3.46322597e-02
  -7.40030021e-02 -1.96747560e-01 -5.87528058e-04 -7.11516978e-03
  -2.63358472e-03 -7.01449582e-03 -4.14918821e-03 -1.95900446e-02
  -2.58576036e-02 -4.06951882e-02  4.08151041e-06 -1.59358870e-05
   2.20149110e-02  2.65829645e-01  1.12878541e-03  7.32728889e-03
   5.27849451e-03  2.21088341e-02  1.22051364e-02  4.83126596e-03]]

15:51:18 to 15:51:48, Duration 30.0
[[ 2.98616194e-03 -2.56331305e-02  2.69822050e-02  3.95218799e-02
  -3.01522062e-03 -7.50386084e-04 -1.52732063e-02 -1.40827062e-02
  -1.38042013e-03  4.01209107e-04 -3.27976090e-02 -1.32435261e-02
  -6.11783497e-02 -7.46316861e-02  2.78254820e-02  3.21897947e-04
