"Time Range: 14:33:14 to 14:33:52, Duration 38.0 
 Start Row 3971, End Row 4123 
 Start Time 992.5, End Time 1030.5"
Std Values:
0.001220097285476708,0.0008404255873651941,0.000828337364953469,0.0012311175119969406,0.0013035894888407313,0.0007562175478325786,0.004106132572505365,0.004037287940190594,0.0014636999069067185,0.001106720541243163,0.017593597569729277,0.021624454257007084,0.0007270428771948903,0.0010123997708316164,0.0019952005223810346,0.001612790944816935,0.0009856819943656588,0.0014477907828480848,0.0005374081216345448,0.0005764602487180262,0.054575303606402135,0.07431445923861965,0.0003818654659878403,0.0005631927662673319,0.00026936216883996175,0.0004016855964634127,8.76914042778015e-05,0.00012190946986263856,0.0017557066064594448,0.0022906498565922286,0.0002483597768666175,0.00020012897277810434,0.00013854918149768804,0.00041846161407724757,0.00019810252949341441,0.0004288762104327259,0.0012272341635442073,0.002770540115240201,2.6824853093188704e-05,6.641383618802831e-05
"Size of std values: (1, 40)"

"Time Range: 14:33:52 to 14:34:39, Duration 47.0 
 Start Row 4124, End Row 4312 
 Start Time 1030.75, End Time 1077.75"
Std Values:
0.001480023387101452,0.0007711419588675993,0.0005725785088086603,0.0010069720292761007,0.001584886530072613,0.0007217299959662701,0.020285904209965375,0.016088548294428757,0.0011814274877661583,0.0006539041266786543,0.029018538666719336,0.03402013610761267,0.0008062867508363434,0.0012223951600822166,0.0014407632923532597,0.0016931079621908011,0.0007647781364391104,0.00112343284963135,0.00060712768489906,0.0007973124268150549,0.05694983590455714,0.07664568110830691,0.0002477035765982253,0.00034829178329437606,0.0002901191766899021,0.0005052057497539753,8.801225671168653e-05,0.00012425435573648548,0.0012167643121589794,0.0016756011826409894,0.00023013027784044834,0.000182611807297485,0.00011402373824111364,0.0003187057586260485,0.00017200642632990705,0.0003546333993041978,0.0012618496647257662,0.002408563316152996,2.2914247377889794e-05,6.438980653483994e-05
"Size of std values: (1, 40)"

"Time Range: 14:34:39 to 14:35:13, Duration 34.0 
 Start Row 4313, End Row 4449 
 Start Time 1078.0, End Time 1112.0"
Std Values:
0.0013181189660685347,0.0007625977124426944,0.0014146517370712606,0.00271273218746323,0.0009988894924595937,0.0006034269648928568,0.014329292782233972,0.011391363045863967,0.002561283952322588,0.0007620948411016118,0.01967874659341532,0.02284107651869647,0.0013571138958200053,0.0028880695990262367,0.0018759816277297895,0.0033934827200071704,0.0017164074801625559,0.0025250135196237316,0.0006718384607029585,0.002628359118023549,0.05134006706740393,0.06875810674602653,0.00042558247760876794,0.0005154810204453308,0.0002676738703942636,0.0013128395443028045,0.00012915283605824355,0.0002449339705549628,0.0028756811529516697,0.004098735537530743,0.0002672577360155601,0.0003037691068180566,0.00018500311087936574,0.0005732331360251548,0.00030557125714712134,0.0007197048507117985,0.0023098272737336273,0.005855190936438346,3.297892245318848e-05,0.00012657751579870359
"Size of std values: (1, 40)"

"Time Range: 14:35:13 to 14:35:40, Duration 27.0 
 Start Row 4450, End Row 4558 
 Start Time 1112.25, End Time 1139.25"
Std Values:
0.0010787825100198568,0.0007917216864975654,0.001268532249623758,0.001944797622980175,0.0013530154728171983,0.0005776851458917613,0.002328700025325729,0.0023511681359053133,0.0013884821878694712,0.0006101180808491385,0.003788714930891218,0.004266845921090582,0.001095725327936565,0.0017681182344991633,0.001636816778839463,0.0022087623465188466,0.0012470426309348006,0.001334347768679223,0.0006325725448435319,0.0018760498582593378,0.040966680596537144,0.05708418500258688,0.00037466153462266036,0.000399545434763451,0.00023603259631232597,0.0009213631474704199,0.00011005106760437523,0.00013250580836985792,0.002173218593786096,0.0025005322756910947,0.00026277164378463023,0.00020737640102497243,0.00010977526635069229,0.00032199227450524585,0.00017036482656706688,0.0003824079314956748,0.001259404357760632,0.003324329293100813,2.4235886327500615e-05,6.22704842691029e-05
"Size of std values: (1, 40)"

"Time Range: 14:35:40 to 14:36:21, Duration 41.0 
 Start Row 4559, End Row 4723 
 Start Time 1139.5, End Time 1180.5"
Std Values:
0.0013953926304024486,0.0008760449773160141,0.0009012996835914948,0.0019881696042359457,0.0015126621909098345,0.0007056577557425093,0.003758775156397219,0.003322027860819048,0.0027563994669050555,0.0012806460463550583,0.0037316907900776857,0.0045364303336693215,0.0010520067441970287,0.0019664583019745985,0.0019051093807422364,0.0019687809378356545,0.001129356118193129,0.0018785946042184786,0.0005211720514363718,0.001091473273495417,0.05048039871104207,0.0686880507205304,0.00032761313694580315,0.00047710691752925384,0.00028184020797362817,0.0007639501089992122,8.110443157768418e-05,0.00019200572416874933,0.0024215995199989328,0.003527999503678693,0.00022987723352835016,0.00018577508931555585,0.00013064164621385486,0.0004291473822050573,0.00017910011333154222,0.00042765607775237463,0.0019431230441257735,0.004195744784757526,3.470979606322947e-05,8.88617866227496e-05
"Size of std values: (1, 40)"

"Time Range: 14:36:21 to 14:37:21, Duration 60.0 
 Start Row 4724, End Row 4964 
 Start Time 1180.75, End Time 1240.75"
Std Values:
0.0012996762074802448,0.0008333731053134577,0.0008044664170905205,0.001290168503209471,0.0013939980846679086,0.0006702296463201691,0.0027197120240967433,0.0015763678561258308,0.0017395393524380492,0.0007674814451362279,0.005437141160476147,0.0076719385108571115,0.001055628301478459,0.0019296580186508555,0.0015890140327648721,0.0019397469195526365,0.0007956233983231127,0.0019207248481101142,0.0005325490634750433,0.0013951021215715398,0.054993207317683854,0.07632148910499036,0.00027663220629792185,0.0006440406446335551,0.00028001702598493027,0.000640683429268384,0.00012520147151239515,0.00019705623578396137,0.00223420886295987,0.002943415500787822,0.0002144443214368328,0.00023317356424010555,0.00013088892118290522,0.0004068413207667055,0.0001935947708878248,0.0005081878802882727,0.0018832293930900012,0.004131823458243426,3.35595802033793e-05,9.583571095629022e-05
"Size of std values: (1, 40)"

"Time Range: 14:37:21 to 14:38:07, Duration 46.0 
 Start Row 4965, End Row 5149 
 Start Time 1241.0, End Time 1287.0"
Std Values:
